id,question_fa,gold_sql,difficulty,category,manual_pass
"VTD-193","در دیتاست عادت‌ها، در هر parental_education_level بهترین و بدترین میانگین عملکرد را با رتبه نشان بده.","SELECT parental_education_level, COUNT(*) AS total, ROUND(AVG(exam_score), 2) AS avg_exam_score, ROUND(AVG(mental_health_rating), 2) AS avg_mental_health_rating, RANK() OVER (ORDER BY AVG(exam_score) DESC) AS rank_by_exam FROM student_habits_performance WHERE parental_education_level IS NOT NULL GROUP BY parental_education_level ORDER BY rank_by_exam;","hard","rank_by_group",""
"VTD-306","فعالیت فوق‌برنامه با نمره و ساعت مطالعه چطور مقایسه میشه؟","SELECT extracurricular_participation AS group_value, COUNT(*) AS n, ROUND(AVG(exam_score),2) AS avg_exam_score, ROUND(AVG(mental_health_rating),2) AS avg_mental_health_rating, ROUND(AVG(sleep_hours),2) AS avg_sleep_hours FROM student_habits_performance GROUP BY extracurricular_participation ORDER BY avg_exam_score DESC;","medium","performance",""
"VTD-039","توزیع سال تحصیل در نظرسنجی دانشگاهی را نشان بده.","SELECT year_of_study, COUNT(*) AS count FROM university_student_mental_health GROUP BY year_of_study ORDER BY count DESC;","easy","distribution",""
"VTD-339","شهرهایی که نرخ افسردگیشون از میانگین کل بالاتره رو پیدا کن.","WITH city_rates AS (SELECT city, COUNT(*) AS n, 100.0*SUM(depression_flag)/COUNT(*) AS rate FROM student_depression WHERE city IS NOT NULL GROUP BY city HAVING COUNT(*)>=500), overall AS (SELECT 100.0*SUM(depression_flag)/COUNT(*) AS overall_rate FROM student_depression) SELECT city, n, ROUND(rate,2) AS city_rate_pct, ROUND(overall_rate,2) AS overall_rate_pct, ROUND(rate-overall_rate,2) AS gap_pct FROM city_rates CROSS JOIN overall WHERE rate>overall_rate ORDER BY gap_pct DESC LIMIT 20;","hard","advanced_sql",""
"VTD-348","برای ایران تغییر سال‌به‌سال افسردگی رو حساب کن.","SELECT year, ROUND(prevalence_pct,4) AS depression_pct, ROUND(prevalence_pct-LAG(prevalence_pct) OVER (ORDER BY year),4) AS yoy_change FROM country_prevalence_long WHERE country_name='Iran' AND disorder='depression' ORDER BY year;","hard","advanced_sql",""
"VTD-365","برای شهرهای با نمونه کافی، فشار تحصیلی رو رتبه‌بندی کن - نسخه 35.","WITH s AS (SELECT city, COUNT(*) AS n, AVG(cgpa_10) AS avg_cgpa, AVG(academic_pressure) AS avg_pressure FROM student_depression WHERE city IS NOT NULL GROUP BY city HAVING COUNT(*)>=750) SELECT city, n, ROUND(avg_cgpa,2) AS avg_cgpa, ROUND(avg_pressure,2) AS avg_pressure, RANK() OVER (ORDER BY avg_pressure DESC) AS pressure_rank FROM s ORDER BY pressure_rank LIMIT 12;","hard","advanced_sql",""
"VTD-044","توزیع درمان‌جویی در نظرسنجی محیط کار را نشان بده.","SELECT treatment, COUNT(*) AS count FROM workplace_mental_health_survey GROUP BY treatment ORDER BY count DESC;","easy","distribution",""
"VTD-218","برای Canada، آخرین مقدار هر اختلال، رتبه جهانی آن و فاصله از میانگین جهانی را بساز.","WITH latest AS (SELECT * FROM country_prevalence_long WHERE is_country_like = 1 AND year = (SELECT MAX(year) FROM country_prevalence_long)), global_avg AS (SELECT disorder, AVG(prevalence_pct) AS avg_prevalence FROM latest GROUP BY disorder), ranked AS (SELECT disorder, country_name, prevalence_pct, RANK() OVER (PARTITION BY disorder ORDER BY prevalence_pct DESC) AS global_rank FROM latest) SELECT r.disorder, ROUND(r.prevalence_pct, 3) AS country_prevalence_pct, r.global_rank, ROUND(g.avg_prevalence, 3) AS global_avg_prevalence_pct, ROUND(r.prevalence_pct - g.avg_prevalence, 3) AS gap_from_global_avg FROM ranked r JOIN global_avg g ON g.disorder = r.disorder WHERE r.country_name = 'Canada' ORDER BY country_prevalence_pct DESC;","complex","country_benchmark_dashboard",""
"VTD-100","میانگین نمره امتحان به تفکیک parental_education_level چقدر است؟","SELECT parental_education_level, COUNT(*) AS total, ROUND(AVG(exam_score), 2) AS avg_exam_score FROM student_habits_performance WHERE parental_education_level IS NOT NULL GROUP BY parental_education_level ORDER BY avg_exam_score DESC;","medium","group_comparison",""
"VTD-054","۱۰ دوره تحصیلی پرتکرار در نظرسنجی دانشگاهی کدام‌اند؟","SELECT course, COUNT(*) AS count FROM university_student_mental_health WHERE course IS NOT NULL GROUP BY course ORDER BY count DESC LIMIT 10;","easy","top_n",""
"VTD-272","تو دیتاست عادت‌ها چند نفر کار پاره‌وقت دارن؟","SELECT COUNT(*) AS n_part_time_students FROM student_habits_performance WHERE part_time_job = 1;","easy","simple",""
"VTD-170","کشورها را بر اساس تغییر شیوع eating_disorder از ۱۹۹۰ تا آخرین سال رتبه‌بندی کن.","WITH endpoints AS (SELECT country_name, MAX(CASE WHEN year = 1990 THEN prevalence_pct END) AS value_1990, MAX(CASE WHEN year = (SELECT MAX(year) FROM country_prevalence_long) THEN prevalence_pct END) AS value_latest FROM country_prevalence_long WHERE disorder = 'eating_disorder' AND is_country_like = 1 GROUP BY country_name), changes AS (SELECT country_name, value_1990, value_latest, value_latest - value_1990 AS change_pct_point FROM endpoints WHERE value_1990 IS NOT NULL AND value_latest IS NOT NULL) SELECT country_name, ROUND(value_1990, 3) AS value_1990, ROUND(value_latest, 3) AS value_latest, ROUND(change_pct_point, 3) AS change_pct_point, RANK() OVER (ORDER BY change_pct_point DESC) AS increase_rank FROM changes ORDER BY increase_rank LIMIT 25;","hard","change_analysis",""
"VTD-252","در دانشجویان عادت‌ها، شاخص تعادل سبک زندگی بساز و آن را با عملکرد مقایسه کن.","WITH scored AS (SELECT *, (CASE WHEN sleep_hours BETWEEN 7 AND 9 THEN 2 ELSE 0 END + CASE WHEN study_hours_per_day BETWEEN 2 AND 6 THEN 2 ELSE 0 END + CASE WHEN social_media_hours <= 3 THEN 1 ELSE 0 END + CASE WHEN exercise_frequency >= 3 THEN 1 ELSE 0 END + CASE WHEN diet_quality = 'Good' THEN 1 ELSE 0 END) AS lifestyle_balance_score FROM student_habits_performance), grouped AS (SELECT lifestyle_balance_score, COUNT(*) AS total, AVG(exam_score) AS avg_exam, AVG(mental_health_rating) AS avg_mental_health, AVG(attendance_percentage) AS avg_attendance FROM scored GROUP BY lifestyle_balance_score) SELECT lifestyle_balance_score, total, ROUND(avg_exam, 2) AS avg_exam_score, ROUND(avg_mental_health, 2) AS avg_mental_health_rating, ROUND(avg_attendance, 2) AS avg_attendance_percentage FROM grouped ORDER BY lifestyle_balance_score;","complex","dashboard_story",""
"VTD-078","میانگین افسردگی و اضطراب بر اساس سطح ریسک سلامت روان عمومی چقدر است؟","SELECT mental_health_risk, COUNT(*) AS total, ROUND(AVG(depression_score), 2) AS avg_depression_score, ROUND(AVG(anxiety_score), 2) AS avg_anxiety_score, ROUND(AVG(productivity_score), 2) AS avg_productivity FROM mental_health_general GROUP BY mental_health_risk ORDER BY avg_depression_score DESC;","medium","analysis",""
"VTD-010","میانگین ساعت خواب تقریبی دانشجویان در دیتاست افسردگی چقدر است؟","SELECT ROUND(AVG(sleep_mid_hours), 2) AS avg_sleep_hours FROM student_depression WHERE sleep_mid_hours IS NOT NULL;","easy","average",""
"VTD-069","میانگین فشار تحصیلی دانشجویان افسرده و غیرافسرده را مقایسه کن.","SELECT depression_flag, ROUND(AVG(academic_pressure), 2) AS avg_academic_pressure, COUNT(*) AS count FROM student_depression GROUP BY depression_flag ORDER BY depression_flag DESC;","medium","analysis",""
"VTD-199","دانشجویان پنهان در خطر: افرادی با نمره امتحان بالا اما خواب کم و سلامت روان پایین را پیدا کن.","WITH avg_exam AS (SELECT AVG(exam_score) AS avg_exam FROM student_habits_performance), candidates AS (SELECT * FROM student_habits_performance, avg_exam WHERE exam_score > avg_exam AND sleep_hours < 6 AND mental_health_rating <= 3) SELECT habit_row_id, original_student_id, age, gender, exam_score, sleep_hours, mental_health_rating, study_hours_per_day, social_media_hours FROM candidates ORDER BY exam_score DESC LIMIT 50;","complex","dashboard_story",""
"VTD-003","تعداد کل رکوردهای دیتاست سلامت روان عمومی چقدر است؟","SELECT COUNT(*) AS total_records FROM mental_health_general;","easy","count",""
"VTD-368","برای هر degree، شهری که بیشترین نرخ افسردگی داره رو پیدا کن.","WITH dc AS (SELECT degree, city, COUNT(*) AS n, 100.0*SUM(depression_flag)/COUNT(*) AS rate FROM student_depression WHERE degree IS NOT NULL AND city IS NOT NULL GROUP BY degree, city HAVING COUNT(*)>=100), r AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY degree ORDER BY rate DESC,n DESC) AS rn FROM dc) SELECT degree, city, n, ROUND(rate,2) AS depression_rate_pct FROM r WHERE rn=1 ORDER BY depression_rate_pct DESC LIMIT 20;","complex","complex_dashboard",""
"VTD-373","بهره‌وری پایین‌تر از معمول رو با ریسک سلامت روان مقایسه کن.","WITH st AS (SELECT AVG(productivity_score) AS m, AVG(productivity_score*productivity_score)-AVG(productivity_score)*AVG(productivity_score) AS v FROM mental_health_general), f AS (SELECT mental_health_risk, stress_level, sleep_hours, (productivity_score-m)/SQRT(v) AS z FROM mental_health_general CROSS JOIN st WHERE v>0 AND productivity_score IS NOT NULL) SELECT CASE WHEN z<=-1 THEN 'low_productivity' ELSE 'others' END AS productivity_segment, mental_health_risk, COUNT(*) AS n, ROUND(AVG(stress_level),2) AS avg_stress, ROUND(AVG(sleep_hours),2) AS avg_sleep FROM f GROUP BY productivity_segment,mental_health_risk ORDER BY productivity_segment,n DESC;","complex","complex_dashboard",""
"VTD-260","در نظرسنجی محیط کار، تضاد بین آمادگی سازمانی و ترس از مصاحبه سلامت روان را تحلیل کن.","WITH grouped AS (SELECT benefits, care_options, mental_health_interview, COUNT(*) AS total, SUM(treatment) AS treatment_count, SUM(obs_consequence) AS observed_consequence_count FROM workplace_mental_health_survey GROUP BY benefits, care_options, mental_health_interview HAVING COUNT(*) >= 10) SELECT benefits, care_options, mental_health_interview, total, ROUND(100.0 * treatment_count / total, 2) AS treatment_rate_pct, ROUND(100.0 * observed_consequence_count / total, 2) AS observed_consequence_rate_pct FROM grouped ORDER BY observed_consequence_rate_pct DESC, treatment_rate_pct DESC;","complex","dashboard_story",""
"VTD-254","در دیتاست عمومی، رابطه ترکیبی استرس و حمایت اجتماعی را با ریسک بالا تحلیل کن.","WITH binned AS (SELECT CASE WHEN stress_level <= 3 THEN 'Low stress' WHEN stress_level <= 6 THEN 'Medium stress' ELSE 'High stress' END AS stress_bucket, CASE WHEN social_support_score < 40 THEN 'Low support' WHEN social_support_score < 70 THEN 'Medium support' ELSE 'High support' END AS support_bucket, mental_health_risk, depression_score, productivity_score FROM mental_health_general), grouped AS (SELECT stress_bucket, support_bucket, COUNT(*) AS total, SUM(CASE WHEN mental_health_risk = 'High' THEN 1 ELSE 0 END) AS high_risk_count, AVG(depression_score) AS avg_depression, AVG(productivity_score) AS avg_productivity FROM binned GROUP BY stress_bucket, support_bucket) SELECT stress_bucket, support_bucket, total, ROUND(100.0 * high_risk_count / total, 2) AS high_risk_rate_pct, ROUND(avg_depression, 2) AS avg_depression, ROUND(avg_productivity, 2) AS avg_productivity FROM grouped ORDER BY high_risk_rate_pct DESC;","complex","dashboard_story",""
"VTD-245","داشبورد شکاف بهره‌وری دیتاست عمومی بر اساس محیط کار را بساز.","WITH overall AS (SELECT AVG(productivity_score) AS overall_productivity, AVG(depression_score) AS overall_depression FROM mental_health_general), grouped AS (SELECT work_environment, COUNT(*) AS total, AVG(productivity_score) AS avg_productivity, AVG(depression_score) AS avg_depression, AVG(anxiety_score) AS avg_anxiety, SUM(CASE WHEN mental_health_risk='High' THEN 1 ELSE 0 END) AS high_risk_count FROM mental_health_general GROUP BY work_environment) SELECT work_environment, total, ROUND(avg_productivity, 2) AS avg_productivity, ROUND(avg_productivity - overall_productivity, 2) AS productivity_gap, ROUND(avg_depression, 2) AS avg_depression, ROUND(avg_depression - overall_depression, 2) AS depression_gap, ROUND(avg_anxiety, 2) AS avg_anxiety, ROUND(100.0 * high_risk_count / total, 2) AS high_risk_rate_pct FROM grouped CROSS JOIN overall ORDER BY productivity_gap ASC;","complex","productivity_gap_dashboard",""
"VTD-210","کشورهایی را پیدا کن که هم افسردگی و هم اضطراب‌شان در آخرین سال بالاتر از میانگین جهانی است.","WITH latest AS (SELECT country_name, disorder, prevalence_pct FROM country_prevalence_long WHERE is_country_like = 1 AND year = (SELECT MAX(year) FROM country_prevalence_long) AND disorder IN ('depression','anxiety')), pivoted AS (SELECT country_name, MAX(CASE WHEN disorder = 'depression' THEN prevalence_pct END) AS depression_pct, MAX(CASE WHEN disorder = 'anxiety' THEN prevalence_pct END) AS anxiety_pct FROM latest GROUP BY country_name), global_avg AS (SELECT AVG(depression_pct) AS avg_depression_pct, AVG(anxiety_pct) AS avg_anxiety_pct FROM pivoted) SELECT p.country_name, ROUND(p.depression_pct, 3) AS depression_pct, ROUND(g.avg_depression_pct, 3) AS global_avg_depression, ROUND(p.anxiety_pct, 3) AS anxiety_pct, ROUND(g.avg_anxiety_pct, 3) AS global_avg_anxiety FROM pivoted p CROSS JOIN global_avg g WHERE p.depression_pct > g.avg_depression_pct AND p.anxiety_pct > g.avg_anxiety_pct ORDER BY (p.depression_pct - g.avg_depression_pct) + (p.anxiety_pct - g.avg_anxiety_pct) DESC LIMIT 30;","complex","dashboard_story",""
"VTD-056","حداقل و حداکثر سن دانشجویان افسردگی چقدر است؟","SELECT MIN(age) AS min_value, MAX(age) AS max_value FROM student_depression WHERE age IS NOT NULL;","easy","min_max",""
"VTD-035","توزیع سطح ریسک سلامت روان در دیتاست عمومی را نشان بده.","SELECT mental_health_risk, COUNT(*) AS count FROM mental_health_general GROUP BY mental_health_risk ORDER BY count DESC;","easy","distribution",""
"VTD-355","برای داشبورد محل کار KPIهای treatment و remote و benefits رو بده.","SELECT 'total_respondents' AS metric, COUNT(*) AS value FROM workplace_mental_health_survey UNION ALL SELECT 'treatment_rate_pct', ROUND(100.0*SUM(treatment)/COUNT(*),2) FROM workplace_mental_health_survey UNION ALL SELECT 'remote_rate_pct', ROUND(100.0*SUM(remote_work)/COUNT(*),2) FROM workplace_mental_health_survey UNION ALL SELECT 'benefits_yes_rate_pct', ROUND(100.0*SUM(CASE WHEN benefits='Yes' THEN 1 ELSE 0 END)/COUNT(*),2) FROM workplace_mental_health_survey;","hard","advanced_sql",""
"VTD-281","ریسک سلامت روان Low/Medium/High چه تعدادی داره؟","SELECT mental_health_risk, COUNT(*) AS n_people FROM mental_health_general GROUP BY mental_health_risk ORDER BY n_people DESC;","easy","simple",""
"VTD-060","حداقل و حداکثر سال موجود در داده شیوع جهانی چیست؟","SELECT MIN(year) AS min_value, MAX(year) AS max_value FROM country_prevalence_long WHERE year IS NOT NULL;","easy","min_max",""
"VTD-244","داشبورد شکاف بهره‌وری دیتاست عمومی بر اساس روزهای فعالیت فیزیکی را بساز.","WITH overall AS (SELECT AVG(productivity_score) AS overall_productivity, AVG(depression_score) AS overall_depression FROM mental_health_general), grouped AS (SELECT physical_activity_days, COUNT(*) AS total, AVG(productivity_score) AS avg_productivity, AVG(depression_score) AS avg_depression, AVG(anxiety_score) AS avg_anxiety, SUM(CASE WHEN mental_health_risk='High' THEN 1 ELSE 0 END) AS high_risk_count FROM mental_health_general GROUP BY physical_activity_days) SELECT physical_activity_days, total, ROUND(avg_productivity, 2) AS avg_productivity, ROUND(avg_productivity - overall_productivity, 2) AS productivity_gap, ROUND(avg_depression, 2) AS avg_depression, ROUND(avg_depression - overall_depression, 2) AS depression_gap, ROUND(avg_anxiety, 2) AS avg_anxiety, ROUND(100.0 * high_risk_count / total, 2) AS high_risk_rate_pct FROM grouped CROSS JOIN overall ORDER BY productivity_gap ASC;","complex","productivity_gap_dashboard",""
"VTD-387","برای آخرین سال جهانی combined burden افسردگی، اضطراب و bipolar رو بساز.","WITH latest AS (SELECT country_name, disorder, prevalence_pct FROM country_prevalence_long WHERE year = (SELECT MAX(year) FROM country_prevalence_long)), p AS (SELECT country_name, MAX(CASE WHEN disorder='depression' THEN prevalence_pct END) AS dep, MAX(CASE WHEN disorder='anxiety' THEN prevalence_pct END) AS anx, MAX(CASE WHEN disorder='bipolar' THEN prevalence_pct END) AS bip FROM latest GROUP BY country_name) SELECT country_name, ROUND(dep,4) AS depression_pct, ROUND(anx,4) AS anxiety_pct, ROUND(bip,4) AS bipolar_pct, ROUND(dep+anx+bip,4) AS combined_burden_score FROM p WHERE dep IS NOT NULL AND anx IS NOT NULL AND bip IS NOT NULL ORDER BY combined_burden_score DESC LIMIT 20;","complex","complex_dashboard",""
"VTD-290","کشورها تو survey محل کار از نظر تعداد پاسخ چطورن؟","SELECT country, COUNT(*) AS n_respondents FROM workplace_mental_health_survey GROUP BY country ORDER BY n_respondents DESC LIMIT 10;","easy","simple",""
"VTD-231","در محیط کار، ماتریس محرمانگی و راهنمایی کمک‌خواهی را از نظر درمان‌جویی و پیامد منفی بساز.","SELECT anonymity, seek_help, COUNT(*) AS total, ROUND(100.0 * SUM(treatment) / COUNT(*), 2) AS treatment_rate_pct, ROUND(100.0 * SUM(obs_consequence) / COUNT(*), 2) AS observed_consequence_rate_pct FROM workplace_mental_health_survey GROUP BY anonymity, seek_help HAVING COUNT(*) >= 10 ORDER BY treatment_rate_pct DESC;","complex","policy_matrix",""
"VTD-381","میانگین متحرک پنج‌ساله افسردگی ایران، آمریکا و آلمان رو بده.","SELECT country_name,year,ROUND(prevalence_pct,4) AS depression_pct,ROUND(AVG(prevalence_pct) OVER (PARTITION BY country_name ORDER BY year ROWS BETWEEN 4 PRECEDING AND CURRENT ROW),4) AS rolling_5yr_avg FROM country_prevalence_long WHERE disorder='depression' AND country_name IN ('Iran','United States','Germany') ORDER BY country_name,year;","complex","complex_dashboard",""
"VTD-030","تعداد دانشجویان دارای شغل پاره‌وقت و بدون شغل پاره‌وقت چقدر است؟","SELECT part_time_job, COUNT(*) AS count FROM student_habits_performance GROUP BY part_time_job ORDER BY count DESC;","easy","distribution",""
"VTD-332","degreeها رو از نظر فشار مالی رتبه بده.","WITH s AS (SELECT degree AS g, COUNT(*) AS n, AVG(financial_stress) AS val, AVG(depression_flag)*100 AS dep_rate FROM student_depression WHERE degree IS NOT NULL GROUP BY degree HAVING COUNT(*)>=300) SELECT g, n, ROUND(val,2) AS avg_financial_stress, ROUND(dep_rate,2) AS depression_rate_pct, RANK() OVER (ORDER BY val DESC) AS rnk FROM s ORDER BY rnk LIMIT 15;","hard","advanced_sql",""
"VTD-241","داشبورد اولویت مداخله دانشجویان افسردگی بر اساس سابقه خانوادگی را بساز.","WITH grouped AS (SELECT family_history_mental_illness, COUNT(*) AS total, 100.0 * SUM(depression_flag) / COUNT(*) AS depression_rate_pct, 100.0 * SUM(suicidal_thoughts) / COUNT(*) AS suicidal_rate_pct, AVG(academic_pressure) AS avg_academic_pressure, AVG(cgpa_10) AS avg_cgpa FROM student_depression GROUP BY family_history_mental_illness), scored AS (SELECT *, depression_rate_pct * 0.40 + suicidal_rate_pct * 0.35 + avg_academic_pressure * 10 * 0.25 AS intervention_priority_score FROM grouped) SELECT family_history_mental_illness, total, ROUND(depression_rate_pct, 2) AS depression_rate_pct, ROUND(suicidal_rate_pct, 2) AS suicidal_rate_pct, ROUND(avg_academic_pressure, 2) AS avg_academic_pressure, ROUND(avg_cgpa, 2) AS avg_cgpa_10, ROUND(intervention_priority_score, 2) AS intervention_priority_score, RANK() OVER (ORDER BY intervention_priority_score DESC) AS priority_rank FROM scored ORDER BY priority_rank;","complex","intervention_priority_dashboard",""
"VTD-098","میانگین نمره اضطراب به تفکیک mental_health_risk چقدر است؟","SELECT mental_health_risk, COUNT(*) AS total, ROUND(AVG(anxiety_score), 2) AS avg_anxiety_score FROM mental_health_general WHERE mental_health_risk IS NOT NULL GROUP BY mental_health_risk ORDER BY avg_anxiety_score DESC;","medium","group_comparison",""
"VTD-323","آخرین سال، ده کشور با بیشترین افسردگی رو بده.","SELECT country_name, ROUND(prevalence_pct,4) AS depression_pct FROM country_prevalence_long WHERE disorder='depression' AND year=(SELECT MAX(year) FROM country_prevalence_long) ORDER BY prevalence_pct DESC LIMIT 10;","medium","global_or_university",""
"VTD-144","در هر محیط کاری، درصد افراد ریسک بالا چقدر است؟","SELECT work_environment, COUNT(*) AS total, SUM(CASE WHEN mental_health_risk = 'High' THEN 1 ELSE 0 END) AS high_risk_count, ROUND(100.0 * SUM(CASE WHEN mental_health_risk = 'High' THEN 1 ELSE 0 END) / COUNT(*), 2) AS high_risk_rate_pct, ROUND(AVG(productivity_score), 2) AS avg_productivity FROM mental_health_general GROUP BY work_environment ORDER BY high_risk_rate_pct DESC;","hard","advanced_analysis",""
